atom x[N] y[N] z[N]
393 -5.19743e-13 -2.33036e-12 -3.09674e-12 
394 -5.21649e-13 -2.33665e-12 -3.09009e-12 
395 -5.15177e-13 -2.35068e-12 -3.1118e-12 
396 -5.31015e-13 -2.35751e-12 -3.12654e-12 
397 -5.23066e-13 -2.363e-12 -3.12092e-12 
398 -5.15076e-13 -2.36187e-12 -3.12169e-12 
399 -5.1503e-13 -2.37528e-12 -3.14276e-12 
400 -5.15034e-13 -2.38879e-12 -3.16419e-12 
401 -5.22887e-13 -2.38758e-12 -3.16528e-12 
402 -5.30798e-13 -2.39316e-12 -3.15933e-12 
403 -5.14949e-13 -2.39988e-12 -3.17372e-12 
404 -5.24754e-13 -2.40599e-12 -3.18775e-12 
405 -5.26221e-13 -2.40415e-12 -3.18945e-12 
406 -5.27688e-13 -2.41034e-12 -3.18288e-12 
407 -5.2165e-13 -2.42446e-12 -3.20466e-12 
408 -5.30985e-13 -2.43065e-12 -3.21877e-12 
409 -5.3236e-13 -2.4288e-12 -3.22048e-12 
410 -5.33737e-13 -2.435e-12 -3.21389e-12 
411 -5.27192e-13 -2.44903e-12 -3.23559e-12 
412 -5.36501e-13 -2.45522e-12 -3.24971e-12 
413 -5.37869e-13 -2.45337e-12 -3.25141e-12 
414 -5.39239e-13 -2.45956e-12 -3.24482e-12 
415 -5.32674e-13 -2.47359e-12 -3.26651e-12 
416 -5.41979e-13 -2.47978e-12 -3.28062e-12 
417 -5.43345e-13 -2.47793e-12 -3.28232e-12 
418 -5.44714e-13 -2.48412e-12 -3.27573e-12 
419 -5.38146e-13 -2.49814e-12 -3.29742e-12 
420 -5.4745e-13 -2.50433e-12 -3.31153e-12 
421 -5.48815e-13 -2.50248e-12 -3.31323e-12 
422 -5.50183e-13 -2.50866e-12 -3.30663e-12 
423 -5.43615e-13 -2.52268e-12 -3.32831e-12 
424 -5.52917e-13 -2.52887e-12 -3.34242e-12 
425 -5.54282e-13 -2.52701e-12 -3.34412e-12 
426 -5.55649e-13 -2.5332e-12 -3.33751e-12 
427 -5.49082e-13 -2.54721e-12 -3.35919e-12 
428 -5.58382e-13 -2.5534e-12 -3.3733e-12 
429 -5.59746e-13 -2.55154e-12 -3.375e-12 
430 -5.61113e-13 -2.55773e-12 -3.36839e-12 
431 -5.54547e-13 -2.57174e-12 -3.39006e-12 
432 -5.63845e-13 -2.57792e-12 -3.40417e-12 
433 -5.65209e-13 -2.57606e-12 -3.40587e-12 
434 -5.66575e-13 -2.58224e-12 -3.39925e-12 
435 -5.60009e-13 -2.59625e-12 -3.42092e-12 
436 -5.69306e-13 -2.60243e-12 -3.43503e-12 
437 -5.70669e-13 -2.60057e-12 -3.43672e-12 
438 -5.72034e-13 -2.60675e-12 -3.4301e-12 
439 -5.65469e-13 -2.62075e-12 -3.45177e-12 
440 -5.74764e-13 -2.62693e-12 -3.46588e-12 
441 -5.76127e-13 -2.62507e-12 -3.46756e-12 
442 -5.77492e-13 -2.63125e-12 -3.46094e-12 
443 -5.70927e-13 -2.64525e-12 -3.4826e-12 
444 -5.80221e-13 -2.65142e-12 -3.49671e-12 
445 -5.81584e-13 -2.64956e-12 -3.4984e-12 
446 -5.82948e-13 -2.65574e-12 -3.49177e-12 
447 -5.76384e-13 -2.66973e-12 -3.51342e-12 
448 -5.85676e-13 -2.67591e-12 -3.52753e-12 
449 -5.87038e-13 -2.67404e-12 -3.52921e-12 
450 -5.88402e-13 -2.68021e-12 -3.52258e-12 
451 -5.81838e-13 -2.69421e-12 -3.54423e-12 
452 -5.91129e-13 -2.70038e-12 -3.55834e-12 
453 -5.9249e-13 -2.69851e-12 -3.56002e-12 
454 -5.93853e-13 -2.70468e-12 -3.55338e-12 
455 -5.8729e-13 -2.71867e-12 -3.57503e-12 
456 -5.96579e-13 -2.72484e-12 -3.58914e-12 
457 -5.9794e-13 -2.72298e-12 -3.59082e-12 
458 -5.99303e-13 -2.72914e-12 -3.58417e-12 
459 -5.9274e-13 -2.74313e-12 -3.60581e-12 
460 -6.02028e-13 -2.74929e-12 -3.61992e-12 
461 -6.03389e-13 -2.74743e-12 -3.6216e-12 
462 -6.04752e-13 -2.75359e-12 -3.61495e-12 
463 -5.9819e-13 -2.76758e-12 -3.63659e-12 
