atom x[m] y[m] z[m]
439 2.28e-09 8.55e-10 2.565e-09 
440 0 1.14e-09 2.28e-09 
441 2.85e-10 1.425e-09 2.28e-09 
442 2.85e-10 1.14e-09 2.565e-09 
443 0 1.425e-09 2.565e-09 
444 5.7e-10 1.14e-09 2.28e-09 
445 8.55e-10 1.425e-09 2.28e-09 
446 8.55e-10 1.14e-09 2.565e-09 
447 5.7e-10 1.425e-09 2.565e-09 
448 1.14e-09 1.14e-09 2.28e-09 
449 1.425e-09 1.425e-09 2.28e-09 
450 1.425e-09 1.14e-09 2.565e-09 
451 1.14e-09 1.425e-09 2.565e-09 
452 1.71e-09 1.14e-09 2.28e-09 
453 1.995e-09 1.425e-09 2.28e-09 
454 1.995e-09 1.14e-09 2.565e-09 
455 1.71e-09 1.425e-09 2.565e-09 
456 2.28e-09 1.14e-09 2.28e-09 
457 2.565e-09 1.425e-09 2.28e-09 
458 2.565e-09 1.14e-09 2.565e-09 
459 2.28e-09 1.425e-09 2.565e-09 
460 0 1.71e-09 2.28e-09 
461 2.85e-10 1.995e-09 2.28e-09 
462 2.85e-10 1.71e-09 2.565e-09 
463 0 1.995e-09 2.565e-09 
464 5.7e-10 1.71e-09 2.28e-09 
465 8.55e-10 1.995e-09 2.28e-09 
466 8.55e-10 1.71e-09 2.565e-09 
467 5.7e-10 1.995e-09 2.565e-09 
468 1.14e-09 1.71e-09 2.28e-09 
469 1.425e-09 1.995e-09 2.28e-09 
470 1.425e-09 1.71e-09 2.565e-09 
471 1.14e-09 1.995e-09 2.565e-09 
472 1.71e-09 1.71e-09 2.28e-09 
473 1.995e-09 1.995e-09 2.28e-09 
474 1.995e-09 1.71e-09 2.565e-09 
475 1.71e-09 1.995e-09 2.565e-09 
476 2.28e-09 1.71e-09 2.28e-09 
477 2.565e-09 1.995e-09 2.28e-09 
478 2.565e-09 1.71e-09 2.565e-09 
479 2.28e-09 1.995e-09 2.565e-09 
480 0 2.28e-09 2.28e-09 
481 2.85e-10 2.565e-09 2.28e-09 
482 2.85e-10 2.28e-09 2.565e-09 
483 0 2.565e-09 2.565e-09 
484 5.7e-10 2.28e-09 2.28e-09 
485 8.55e-10 2.565e-09 2.28e-09 
486 8.55e-10 2.28e-09 2.565e-09 
487 5.7e-10 2.565e-09 2.565e-09 
488 1.14e-09 2.28e-09 2.28e-09 
489 1.425e-09 2.565e-09 2.28e-09 
490 1.425e-09 2.28e-09 2.565e-09 
491 1.14e-09 2.565e-09 2.565e-09 
492 1.71e-09 2.28e-09 2.28e-09 
493 1.995e-09 2.565e-09 2.28e-09 
494 1.995e-09 2.28e-09 2.565e-09 
495 1.71e-09 2.565e-09 2.565e-09 
496 2.28e-09 2.28e-09 2.28e-09 
497 2.565e-09 2.565e-09 2.28e-09 
498 2.565e-09 2.28e-09 2.565e-09 
499 2.28e-09 2.565e-09 2.565e-09 
